MTFCC,OID,GEOID,REGION,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G1100,2.72902E+12,1,1,Northeast,Northeast Region,68,S,55317240,23647636,4.1935E+11,50266672456,42.7754127,-74.2182992,42.7778273,-74.2123675
G1100,2.72902E+12,2,2,Midwest,Midwest Region,68,S,66927001,29483646,1.94384E+12,1.84412E+11,42.8314516,-93.3114827,42.8262692,-93.3107947
G1100,2.72902E+12,3,3,South,South Region,68,S,114555744,49980829,2.24919E+12,1.34753E+11,33.5458336,-90.166122,33.5516462,-90.1630975
G1100,2.72902E+12,4,4,West,West Region,68,S,71945553,28592619,4.53521E+12,3.16492E+11,49.9388803,-124.1795441,35.2931746,-111.9010442
