MTFCC,OID,GEOID,REGION,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G1100,2.72202E+12,1,1,Northeast,Northeast Region,68,S,53594378,22180440,4.1935E+11,50266672573,42.7754128,-74.2182991,42.7778273,-74.2123675
G1100,2.72202E+12,2,2,Midwest,Midwest Region,68,S,64392776,26963635,1.94384E+12,1.8441E+11,42.831452,-93.3114908,42.8262692,-93.3107947
G1100,2.72202E+12,3,3,South,South Region,68,S,100236820,42382546,2.24919E+12,1.34755E+11,33.5458384,-90.16612,33.5516462,-90.1630975
G1100,2.72202E+12,4,4,West,West Region,68,S,63197932,24378020,4.53521E+12,3.16492E+11,49.9388815,-124.1795467,35.2931746,-111.9010442
