MTFCC,OID,GEOID,REGION,DIVISION,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G1200,2.73902E+12,1,1,1,New England,New England Division,69,S,14444865,6418656,1.62362E+11,24085595416,44.0884422,-70.663633,44.0861573,-70.6610316
G1200,2.73902E+12,2,1,2,Middle Atlantic,Middle Atlantic Division,69,S,40872375,17228980,2.56987E+11,26181077040,41.8513417,-76.4757035,41.8451929,-76.4760334
G1200,2.73902E+12,3,2,3,East North Central,East North Central Division,69,S,46421564,20376355,6.29114E+11,1.51427E+11,42.6527275,-86.8359787,44.8410835,-85.6593197
G1200,2.73902E+12,4,2,4,West North Central,West North Central Division,69,S,20505437,9107291,1.31473E+12,32985370394,42.7660276,-97.0814802,42.7655982,-97.0647738
G1200,2.73902E+12,5,3,5,South Atlantic,South Atlantic Division,69,S,59777037,26871866,6.86507E+11,72334453390,33.9106282,-80.9187911,33.9116871,-80.9155621
G1200,2.73902E+12,6,3,6,East South Central,East South Central Division,69,S,18432505,8185869,4.61769E+11,13245353884,34.5141236,-87.1638962,34.5174373,-87.1675441
G1200,2.73902E+12,7,3,7,West South Central,West South Central Division,69,S,36346202,14923094,1.10092E+12,49173514335,32.4683816,-97.3217044,32.467637,-97.3297675
G1200,2.73902E+12,8,4,8,Mountain,Mountain Division,69,S,22065451,9524824,2.21643E+12,20195819105,40.2023871,-110.2308311,40.198747,-110.227974
G1200,2.73902E+12,9,4,9,Pacific,Pacific Division,69,S,49880102,19067795,2.31878E+12,2.96296E+11,56.3808919,-138.877671,43.5008617,-123.1351948
